logg,Teff,Z,u,Filt,Met,Mod
5,10500,-5,0.3239,R,F,A
2.5,11000,-5,0.3305,R,F,A
3,11000,-5,0.3209,R,F,A
3.5,11000,-5,0.316,R,F,A
4,11000,-5,0.3138,R,F,A
4.5,11000,-5,0.313,R,F,A
5,11000,-5,0.3126,R,F,A
2.5,11500,-5,0.3245,R,F,A
3,11500,-5,0.3137,R,F,A
3.5,11500,-5,0.308,R,F,A
4,11500,-5,0.3053,R,F,A
4.5,11500,-5,0.304,R,F,A
5,11500,-5,0.3035,R,F,A
2.5,12000,-5,0.3193,R,F,A
3,12000,-5,0.3073,R,F,A
3.5,12000,-5,0.301,R,F,A
4,12000,-5,0.2978,R,F,A
4.5,12000,-5,0.2962,R,F,A
5,12000,-5,0.2954,R,F,A
2.5,12500,-5,0.3152,R,F,A
3,12500,-5,0.3018,R,F,A
3.5,12500,-5,0.2947,R,F,A
4,12500,-5,0.291,R,F,A
4.5,12500,-5,0.2892,R,F,A
5,12500,-5,0.2883,R,F,A
2.5,13000,-5,0.3116,R,F,A
3,13000,-5,0.2969,R,F,A
3.5,13000,-5,0.2891,R,F,A
4,13000,-5,0.2849,R,F,A
4.5,13000,-5,0.2828,R,F,A
5,13000,-5,0.2817,R,F,A
2,14000,-5,0.3412,R,F,A
2.5,14000,-5,0.3061,R,F,A
3,14000,-5,0.2887,R,F,A
3.5,14000,-5,0.2793,R,F,A
4,14000,-5,0.2742,R,F,A
4.5,14000,-5,0.2716,R,F,A
5,14000,-5,0.2702,R,F,A
2.5,15000,-5,0.3024,R,F,A
3,15000,-5,0.2822,R,F,A
3.5,15000,-5,0.2713,R,F,A
4,15000,-5,0.2653,R,F,A
4.5,15000,-5,0.262,R,F,A
5,15000,-5,0.2601,R,F,A
2.5,16000,-5,0.3,R,F,A
3,16000,-5,0.2766,R,F,A
3.5,16000,-5,0.2644,R,F,A
4,16000,-5,0.2577,R,F,A
4.5,16000,-5,0.2538,R,F,A
5,16000,-5,0.2516,R,F,A
2.5,17000,-5,0.2991,R,F,A
3,17000,-5,0.2719,R,F,A
3.5,17000,-5,0.2584,R,F,A
4,17000,-5,0.2509,R,F,A
4.5,17000,-5,0.2466,R,F,A
5,17000,-5,0.2441,R,F,A
2.5,18000,-5,0.3003,R,F,A
3,18000,-5,0.2678,R,F,A
3.5,18000,-5,0.2527,R,F,A
4,18000,-5,0.2446,R,F,A
4.5,18000,-5,0.24,R,F,A
5,18000,-5,0.2374,R,F,A
2.5,19000,-5,0.3043,R,F,A
3,19000,-5,0.265,R,F,A
3.5,19000,-5,0.2474,R,F,A
4,19000,-5,0.2387,R,F,A
4.5,19000,-5,0.2338,R,F,A
5,19000,-5,0.2312,R,F,A
3,20000,-5,0.2635,R,F,A
3.5,20000,-5,0.2429,R,F,A
4,20000,-5,0.233,R,F,A
4.5,20000,-5,0.2279,R,F,A
5,20000,-5,0.2253,R,F,A
3,21000,-5,0.2636,R,F,A
3.5,21000,-5,0.2395,R,F,A
4,21000,-5,0.2279,R,F,A
4.5,21000,-5,0.2223,R,F,A
5,21000,-5,0.2194,R,F,A
3,22000,-5,0.2652,R,F,A
3.5,22000,-5,0.2372,R,F,A
4,22000,-5,0.2239,R,F,A
4.5,22000,-5,0.2173,R,F,A
5,22000,-5,0.2141,R,F,A
3,23000,-5,0.2682,R,F,A
3.5,23000,-5,0.2359,R,F,A
4,23000,-5,0.2207,R,F,A
4.5,23000,-5,0.213,R,F,A
5,23000,-5,0.2092,R,F,A
3,24000,-5,0.2727,R,F,A
3.5,24000,-5,0.2356,R,F,A
4,24000,-5,0.2183,R,F,A
4.5,24000,-5,0.2096,R,F,A
5,24000,-5,0.2051,R,F,A
3,25000,-5,0.2783,R,F,A
3.5,25000,-5,0.2358,R,F,A
4,25000,-5,0.2166,R,F,A
4.5,25000,-5,0.2068,R,F,A
5,25000,-5,0.2017,R,F,A
3,26000,-5,0.2802,R,F,A
3.5,26000,-5,0.2366,R,F,A
4,26000,-5,0.2152,R,F,A
4.5,26000,-5,0.2044,R,F,A
5,26000,-5,0.1987,R,F,A
3.5,27000,-5,0.2369,R,F,A
4,27000,-5,0.2139,R,F,A
4.5,27000,-5,0.2023,R,F,A
5,27000,-5,0.196,R,F,A
3.5,28000,-5,0.2345,R,F,A
4,28000,-5,0.2124,R,F,A
4.5,28000,-5,0.2001,R,F,A
5,28000,-5,0.1934,R,F,A
